"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
2164357894,"EUN1",13,1,236,4,7,517,4,11,157,4,12,55,4,14,63,4,14,51,4,7,412,3,4,99,21,4,121,11,4,6,12,4
2164362005,"EUN1",13,0,29,4,11,24,4,12,55,4,14,117,14,4,202,7,4,157,14,4,267,4,14,238,4,14,11,11,4,22,4,7
2164397992,"EUN1",13,0,145,7,4,267,4,14,29,11,4,54,4,14,42,4,14,48,4,11,67,4,12,105,4,14,143,4,14,21,7,4
2297247202,"EUN1",13,0,39,14,4,44,4,14,35,4,11,18,14,4,29,4,7,105,14,4,141,11,4,412,14,4,67,4,7,133,4,14
2298969879,"EUN1",13,0,516,4,12,141,11,4,202,7,4,61,4,14,555,4,14,236,4,7,89,4,14,38,4,12,31,4,14,19,11,4
2165451237,"EUN1",13,0,39,4,12,13,12,4,555,14,4,64,4,11,145,7,4,120,12,14,33,4,11,81,4,7,12,4,14,42,12,4
2165455993,"EUN1",13,1,555,4,14,10,4,12,34,14,4,51,7,4,120,6,11,245,14,4,24,12,4,67,4,7,53,4,14,31,11,4
2165473708,"EUN1",13,1,119,4,7,40,4,14,39,4,12,555,1,6,79,11,4,238,4,14,223,14,4,141,4,11,67,4,7,92,12,4
2165521099,"EUN1",13,1,18,4,7,24,4,11,75,12,4,517,14,4,143,3,4,99,4,21,11,4,11,240,12,4,222,4,7,26,4,14
2165567204,"EUN1",13,1,133,4,14,1,4,14,120,4,11,236,7,4,16,4,3,15,4,7,53,4,14,24,11,4,150,12,4,103,14,4
2165579199,"EUN1",13,0,90,12,4,20,14,4,120,6,14,24,11,4,81,4,7,131,14,4,33,4,11,107,4,12,119,4,7,40,4,3
2165585370,"EUN1",13,0,39,14,4,31,4,12,11,11,4,21,4,7,37,4,14,122,12,4,24,4,11,90,4,21,119,4,7,40,4,3
2165611842,"EUN1",13,1,28,4,11,13,12,4,80,4,14,119,4,7,40,4,3,92,4,12,236,7,4,412,4,14,55,4,14,104,4,11
2165625681,"EUN1",13,1,75,4,6,41,12,4,412,4,14,18,7,4,113,4,11,24,4,12,119,4,7,40,4,3,19,4,11,131,14,4
2166624615,"EUN1",13,0,114,4,12,421,4,11,127,4,12,67,4,7,161,4,3,37,4,12,44,4,7,8,4,14,10,4,14,107,4,11
2166670604,"EUN1",13,1,75,4,6,555,4,14,517,4,11,45,4,12,222,4,7,266,4,12,37,4,12,44,4,7,518,4,14,11,11,4
2166726426,"EUN1",13,0,25,4,14,222,7,4,92,4,12,142,4,7,64,4,11,112,14,4,59,4,11,119,7,4,57,12,4,40,4,14
2167215795,"EUN1",13,0,113,11,4,75,4,12,51,4,7,412,4,14,238,14,4,72,4,11,122,12,4,81,4,7,40,4,14,115,4,21
2167250222,"EUN1",13,0,96,4,7,31,4,14,122,4,12,60,4,11,40,4,3,10,4,12,13,4,12,67,4,7,53,4,14,64,4,11
2167277196,"EUN1",13,0,141,4,11,245,14,4,15,4,14,117,7,4,555,4,14,67,4,7,12,4,14,54,4,12,59,4,11,7,4,14
2648242466,"EUN1",13,1,498,7,4,63,4,14,75,6,4,32,4,11,1,4,12,2,11,4,80,4,14,236,4,7,23,4,14,84,12,4
2648259287,"EUN1",13,1,81,7,4,238,4,14,17,4,14,141,4,11,54,4,14,517,4,3,19,11,4,80,4,14,63,4,14,202,6,4
2648292857,"EUN1",13,1,99,4,14,62,14,4,18,4,7,84,4,14,121,4,11,79,4,12,89,14,4,120,4,11,51,4,7,103,4,21
2650012961,"EUN1",13,0,68,12,4,267,4,14,222,4,7,54,4,14,121,4,11,122,4,12,19,4,11,30,4,12,201,14,4,236,7,4
2650037327,"EUN1",13,1,67,4,12,43,3,4,54,4,14,121,4,11,21,4,7,90,4,12,104,11,4,63,4,14,24,4,14,236,4,7
2650511090,"EUN1",13,1,238,4,14,25,4,11,266,4,12,555,4,14,202,4,7,24,12,4,64,4,11,157,4,12,236,7,4,99,4,3
2650529145,"EUN1",13,1,54,12,4,875,4,11,13,12,4,99,4,21,67,7,4,20,11,4,92,4,12,25,4,14,22,7,4,238,4,14
2179012386,"EUN1",13,0,202,4,7,9,11,4,53,4,14,105,14,4,39,4,12,67,4,7,150,4,12,103,4,14,104,11,4,98,12,14
2179023480,"EUN1",13,1,32,4,11,103,4,14,236,12,4,92,12,4,40,4,14,254,4,11,131,4,14,81,7,4,25,4,14,78,12,4
2173569300,"EUN1",13,1,67,4,7,111,14,4,114,4,14,131,4,12,35,11,14,555,14,4,126,4,14,145,4,7,33,11,4,420,4,14
2179033249,"EUN1",13,1,17,4,12,145,4,7,25,4,14,32,4,11,103,4,14,142,4,14,24,4,14,143,4,14,141,4,11,110,7,4
2177069141,"EUN1",13,1,6,12,4,119,7,4,143,3,4,142,4,12,77,4,11,150,4,14,202,7,4,267,4,14,103,14,4,106,4,11
2179033773,"EUN1",13,0,32,4,11,103,4,14,92,4,12,89,4,14,51,4,7,119,4,7,39,4,12,107,11,4,99,4,21,518,14,4
2179088045,"EUN1",13,1,6,4,14,103,4,14,498,7,4,60,4,11,89,4,3,121,11,4,412,14,4,143,4,21,119,4,7,202,4,21
2179223248,"EUN1",13,0,63,4,14,10,4,12,120,11,14,12,14,4,15,7,4,40,3,4,103,4,14,20,11,4,51,4,7,86,12,4
2179227405,"EUN1",13,1,266,12,4,103,4,14,32,11,4,81,4,7,420,4,3,412,4,14,21,4,7,113,4,11,86,4,14,105,4,14
2302086609,"EUN1",13,1,19,11,4,40,4,7,101,12,4,98,4,14,145,4,7,44,3,4,498,4,7,107,4,11,161,4,21,157,4,12
2179309902,"EUN1",13,1,51,7,4,58,4,12,103,4,14,79,11,4,267,4,14,99,4,21,68,14,4,110,7,4,412,3,4,59,11,4
2179592809,"EUN1",13,0,6,14,4,29,11,4,99,14,4,22,4,7,9,4,14,103,4,14,64,11,4,518,4,12,202,7,4,16,4,21
2179985484,"EUN1",13,1,222,4,7,24,4,14,64,4,11,40,14,4,90,21,4,75,4,12,60,4,11,25,14,4,103,4,14,119,4,7
